image_path,text_clean,label,label_encoded
waste_dataset/trash/000363.jpg,general trash item discarded,trash,5
waste_dataset/trash/000242.jpg,general household waste item found,trash,5
waste_dataset/paper/000086.jpg,recycled paper material waste object,paper,3
waste_dataset/trash/000276.jpg,mixed garbage non recyclable material,trash,5
waste_dataset/cardboard/000273.jpg,empty cardboard box thrown away,cardboard,0
waste_dataset/paper/000323.jpg,torn paper piece in waste bin,paper,3
waste_dataset/glass/000031.jpg,glass container discarded as garbage,glass,1
waste_dataset/paper/000422.jpg,white paper material discarded waste,paper,3
waste_dataset/plastic/000133.jpg,plastic packaging thrown in trash bin,plastic,4
waste_dataset/cardboard/000203.jpg,cardboard material discarded in bin,cardboard,0
waste_dataset/glass/000065.jpg,recycled glass waste object found,glass,1
waste_dataset/cardboard/000039.jpg,brown cardboard packaging waste material,cardboard,0
waste_dataset/glass/000067.jpg,glass container discarded as garbage,glass,1
waste_dataset/paper/000336.jpg,paper sheet thrown in recycling bin,paper,3
waste_dataset/cardboard/000254.jpg,cardboard material discarded in bin,cardboard,0
waste_dataset/cardboard/000040.jpg,old cardboard packaging garbage item,cardboard,0
waste_dataset/trash/000215.jpg,household garbage thrown away,trash,5
waste_dataset/glass/000191.jpg,a glass bottle found in waste bin,glass,1
waste_dataset/metal/000422.jpg,metal container for recycling bin,metal,2
waste_dataset/metal/000218.jpg,recycled metal can garbage item found,metal,2
waste_dataset/glass/000088.jpg,recycled glass waste object found,glass,1
waste_dataset/plastic/000168.jpg,plastic bag found in garbage waste,plastic,4
waste_dataset/cardboard/000276.jpg,brown cardboard packaging waste material,cardboard,0
waste_dataset/glass/000056.jpg,clear glass waste material in trash,glass,1
waste_dataset/cardboard/000234.jpg,empty cardboard box thrown away,cardboard,0
waste_dataset/paper/000409.jpg,paper waste item found in garbage,paper,3
waste_dataset/metal/000163.jpg,steel or aluminum waste object,metal,2
waste_dataset/metal/000262.jpg,old metal container waste material,metal,2
waste_dataset/plastic/000167.jpg,used plastic container discarded waste,plastic,4
waste_dataset/cardboard/000108.jpg,recycled cardboard box material waste,cardboard,0
waste_dataset/trash/000314.jpg,random waste item in trash bin,trash,5
waste_dataset/glass/000165.jpg,broken glass item for recycling,glass,1
waste_dataset/trash/000060.jpg,general waste material discarded,trash,5
waste_dataset/cardboard/000225.jpg,brown cardboard packaging waste material,cardboard,0
waste_dataset/trash/000017.jpg,mixed garbage non recyclable material,trash,5
waste_dataset/trash/000145.jpg,random waste item in trash bin,trash,5
waste_dataset/glass/000108.jpg,glass container discarded as garbage,glass,1
waste_dataset/glass/000300.jpg,clear glass waste material in trash,glass,1
waste_dataset/trash/000138.jpg,household garbage thrown away,trash,5
waste_dataset/cardboard/000403.jpg,old cardboard packaging garbage item,cardboard,0
waste_dataset/glass/000272.jpg,glass container discarded as garbage,glass,1
waste_dataset/paper/000403.jpg,old paper document thrown away,paper,3
waste_dataset/plastic/000103.jpg,used plastic container discarded waste,plastic,4
waste_dataset/plastic/000253.jpg,empty plastic bottle waste object,plastic,4
waste_dataset/paper/000174.jpg,used newspaper or paper in trash bin,paper,3
waste_dataset/cardboard/000357.jpg,brown cardboard packaging waste material,cardboard,0
waste_dataset/cardboard/000264.jpg,brown cardboard packaging waste material,cardboard,0
waste_dataset/cardboard/000132.jpg,empty cardboard box thrown away,cardboard,0
waste_dataset/metal/000333.jpg,a crushed metal can in trash,metal,2
waste_dataset/plastic/000216.jpg,used plastic container discarded waste,plastic,4
waste_dataset/cardboard/000077.jpg,empty cardboard box thrown away,cardboard,0
waste_dataset/cardboard/000021.jpg,a flattened cardboard box in trash,cardboard,0
waste_dataset/paper/000007.jpg,white paper material discarded waste,paper,3
waste_dataset/plastic/000233.jpg,used plastic container discarded waste,plastic,4
waste_dataset/trash/000320.jpg,general household waste item found,trash,5
waste_dataset/trash/000362.jpg,mixed waste garbage object found,trash,5
waste_dataset/trash/000393.jpg,general trash item discarded,trash,5
waste_dataset/cardboard/000033.jpg,corrugated cardboard waste object found,cardboard,0
waste_dataset/cardboard/000074.jpg,empty cardboard box thrown away,cardboard,0
waste_dataset/paper/000256.jpg,paper sheet thrown in recycling bin,paper,3
waste_dataset/paper/000379.jpg,white paper material discarded waste,paper,3
waste_dataset/metal/000227.jpg,recycled metal can garbage item found,metal,2
waste_dataset/glass/000089.jpg,clear glass waste material in trash,glass,1
waste_dataset/cardboard/000218.jpg,cardboard material discarded in bin,cardboard,0
waste_dataset/glass/000041.jpg,glass container discarded as garbage,glass,1
waste_dataset/paper/000016.jpg,old paper document thrown away,paper,3
waste_dataset/cardboard/000161.jpg,used cardboard carton for recycling,cardboard,0
waste_dataset/metal/000343.jpg,empty metal can thrown away,metal,2
waste_dataset/metal/000092.jpg,used tin can discarded as waste,metal,2
waste_dataset/glass/000135.jpg,clear glass waste material in trash,glass,1
waste_dataset/cardboard/000245.jpg,brown cardboard packaging waste material,cardboard,0
waste_dataset/metal/000306.jpg,metal container for recycling bin,metal,2
waste_dataset/cardboard/000169.jpg,cardboard material discarded in bin,cardboard,0
waste_dataset/plastic/000051.jpg,plastic bag found in garbage waste,plastic,4
waste_dataset/metal/000423.jpg,steel or aluminum waste object,metal,2
waste_dataset/cardboard/000157.jpg,a flattened cardboard box in trash,cardboard,0
waste_dataset/cardboard/000128.jpg,old cardboard packaging garbage item,cardboard,0
waste_dataset/glass/000201.jpg,recycled glass waste object found,glass,1
waste_dataset/plastic/000276.jpg,used plastic container discarded waste,plastic,4
waste_dataset/trash/000074.jpg,general household waste item found,trash,5
