image_path,text_description,label,filename,class_folder,text_word_count,text_char_count,text_unique_words,text_clean,text_stemmed,label_encoded,label_cardboard,label_glass,label_metal,label_paper,label_plastic,label_trash
waste_dataset/trash/000363.jpg,general trash item discarded,trash,000363.jpg,trash,4,28,4,general trash item discarded,gener trash item discard,5,0,0,0,0,0,1
waste_dataset/trash/000242.jpg,general household waste item found,trash,000242.jpg,trash,5,34,5,general household waste item found,gener household wast item found,5,0,0,0,0,0,1
waste_dataset/paper/000086.jpg,recycled paper material waste object,paper,000086.jpg,paper,5,36,5,recycled paper material waste object,recycl paper materi wast object,3,0,0,0,1,0,0
waste_dataset/trash/000276.jpg,mixed garbage non recyclable material,trash,000276.jpg,trash,5,37,5,mixed garbage non recyclable material,mix garbag non recycl materi,5,0,0,0,0,0,1
waste_dataset/cardboard/000273.jpg,empty cardboard box thrown away,cardboard,000273.jpg,cardboard,5,31,5,empty cardboard box thrown away,empti cardboard box thrown away,0,1,0,0,0,0,0
waste_dataset/paper/000323.jpg,torn paper piece in waste bin,paper,000323.jpg,paper,6,29,6,torn paper piece waste bin,torn paper piec wast bin,3,0,0,0,1,0,0
waste_dataset/glass/000031.jpg,glass container discarded as garbage,glass,000031.jpg,glass,5,36,5,glass container discarded garbage,glass contain discard garbag,1,0,1,0,0,0,0
waste_dataset/paper/000422.jpg,white paper material discarded waste,paper,000422.jpg,paper,5,36,5,white paper material discarded waste,white paper materi discard wast,3,0,0,0,1,0,0
waste_dataset/plastic/000133.jpg,plastic packaging thrown in trash bin,plastic,000133.jpg,plastic,6,37,6,plastic packaging thrown trash bin,plastic packag thrown trash bin,4,0,0,0,0,1,0
waste_dataset/cardboard/000203.jpg,cardboard material discarded in bin,cardboard,000203.jpg,cardboard,5,35,5,cardboard material discarded bin,cardboard materi discard bin,0,1,0,0,0,0,0
waste_dataset/glass/000065.jpg,recycled glass waste object found,glass,000065.jpg,glass,5,33,5,recycled glass waste object found,recycl glass wast object found,1,0,1,0,0,0,0
waste_dataset/cardboard/000039.jpg,brown cardboard packaging waste material,cardboard,000039.jpg,cardboard,5,40,5,brown cardboard packaging waste material,brown cardboard packag wast materi,0,1,0,0,0,0,0
waste_dataset/glass/000067.jpg,glass container discarded as garbage,glass,000067.jpg,glass,5,36,5,glass container discarded garbage,glass contain discard garbag,1,0,1,0,0,0,0
waste_dataset/paper/000336.jpg,paper sheet thrown in recycling bin,paper,000336.jpg,paper,6,35,6,paper sheet thrown recycling bin,paper sheet thrown recycl bin,3,0,0,0,1,0,0
waste_dataset/cardboard/000254.jpg,cardboard material discarded in bin,cardboard,000254.jpg,cardboard,5,35,5,cardboard material discarded bin,cardboard materi discard bin,0,1,0,0,0,0,0
waste_dataset/cardboard/000040.jpg,old cardboard packaging garbage item,cardboard,000040.jpg,cardboard,5,36,5,old cardboard packaging garbage item,old cardboard packag garbag item,0,1,0,0,0,0,0
waste_dataset/trash/000215.jpg,household garbage thrown away,trash,000215.jpg,trash,4,29,4,household garbage thrown away,household garbag thrown away,5,0,0,0,0,0,1
waste_dataset/glass/000191.jpg,a glass bottle found in waste bin,glass,000191.jpg,glass,7,33,7,glass bottle found waste bin,glass bottl found wast bin,1,0,1,0,0,0,0
